track_name,artist_name,album_name,release_date,popularity,track_id,region
TURiSTA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,88,7tCuCjhxzjX2XCz4JiiAsp,Global
Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,2024-08-15,76,6StwwqB84sJeLr7tZDTxEX,Global
Residuals,Chris Brown,11:11 (Deluxe),2024-04-11,69,4t4rGgiVX7woTmlnW9SHJ7,Global
No Pole,Don Toliver,Love Sick (Deluxe),2023-02-28,87,0eaVIYo2zeOaGJeqZ5TwYz,Global
I Ain't Sayin',Jordan Davis,I Ain't Sayin',2024-07-26,74,7lCs3stpWCtAn5Y2lmnPhV,Global
Am I Okay?,Megan Moroney,Am I Okay?,2024-07-12,75,36wAwEkSDpNQ4oQeRLYC3L,Global
CAFé CON RON,"Bad Bunny, Los Pleneros de la Cresta",DeBÍ TiRAR MáS FOToS,2025-01-05,87,6VNXmo59yDYgcwLS17UNAW,Global
Help Me,Real Boston Richey,Help Me,2024-05-31,68,487JCvAXVblflZyDJn3fSp,Global
Bad Dreams,Teddy Swims,Bad Dreams,2024-09-13,87,3nHuKdFJZm78CoeBnDcFKe,Global
Stiff Gang,Lil Baby,WHAM (Extended Version),2025-01-10,62,3cRi3PKcFCPL3fQcEJMKT0,Global
Dancing In The Flames,The Weeknd,Dancing In The Flames,2024-09-13,81,7z7kvUQGwlC6iOl7vMuAr9,Global
Boys Back Home,"Dylan Marlowe, Dylan Scott",Boys Back Home,2023-10-27,60,1hgINxfKQlJOikzd9skvC2,Global
Heart Of A Woman,Summer Walker,Heart Of A Woman,2024-10-25,73,2oVVaVY0LkzwAYYcyzon6Z,Global
peekaboo (feat. azchike),"Kendrick Lamar, AzChike",GNX,2024-11-22,82,2Uts1QFB4u2YNIMiqcb4de,Global
Drive,SZA,SOS Deluxe: LANA,2024-12-20,79,2qYbtIf8dRkBkKIcZVGFDq,Global
Popular,Ariana Grande,Wicked: The Soundtrack,2024-11-22,83,3i8fIJNV0yuC4kXT3SkVBZ,Global
hey now (feat. dody6),"Kendrick Lamar, Dody6",GNX,2024-11-22,83,5S8VwnB4sLi6W0lYTWYylu,Global
LO QUE LE PASÓ A HAWAii,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,85,1Hg0e997pObvZ91w1FCPFk,Global
LA MuDANZA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,87,3G7agPwWfcORnWCAGMDOpm,Global
Close To You,Gracie Abrams,The Secret of Us,2024-06-21,72,2bl81llf715VEEbAx03yvB,Global
Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-09,85,6MzofobZt2dm0Kf1hTThFz,Global
Burning Down,Alex Warren,Burning Down,2024-09-20,69,7gxQXemQ5MBeK9PUrKRtfV,Global
Free Promo,Lil Baby,WHAM (Extended Version),2025-01-10,62,47OlqHXSnjsURFZGLdvQwI,Global
DOS DÍAS,"Tito Double P, Peso Pluma",INCÓMODO,2024-08-22,87,5lKFO0PrOC9jmOlPEdjHsL,Global
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,90,5G2f63n7IPVPPjfNIGih7Q,UK
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,60,0lBwoEOqZNwm07Pd8Hwj3L,UK
Espresso,Sabrina Carpenter,Espresso,2024-04-11,64,2oADPwknKEfMtwpMnr7xfg,UK
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,97,6dOtVTDdiauQNBQEDOtlAB,UK
BACKBONE,"Chase & Status, Stormzy",BACKBONE,2024-08-08,49,2N13Lr0dpiirWaJVLcNl4i,UK
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,100,2plbrEY59IikOBgBGLjaoe,UK
Live Forever - Remastered,Oasis,Definitely Maybe (Deluxe Edition Remastered),1994,66,6TlQ5fbojNRuG0hPQMbxeW,UK
Don't Look Back In Anger - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,72,12dU3vAh6AFoJkisorfoUl,UK
Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),2024-03-22,71,1bJRd2ey6ER7neSxZwYdAG,UK
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,77,7ygpwy2qP3NbrxVkHvUhXY,UK
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring billie eilish,2024-08-01,81,3WOhcATHxK2SLNeP5W3v1v,UK
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,86,4xdBrk0nFZaP54vvZj0yx7,UK
Somedays,"Sonny Fodera, Jazzy, D.O.D",Somedays,2024-07-26,79,3wo3d0I5H8KjkwGvnz8WbB,UK
KEHLANI,Jordan Adetunji,KEHLANI,2024-05-19,22,0izPpjfwsu2DuzWGqsABkT,UK
Apple,Charli xcx,BRAT,2024-06-07,81,19RybK6XDbAVpcdxSbZL1o,UK
Mask,Malachi's Ministry,Mask,2024-04-26,21,1i4Jvtx5T14dvcVSNvkk5b,UK
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,2024-06-07,84,1BJJbSX6muJVF2AK7uH1x4,UK
Bye Bye Bye,*NSYNC,No Strings Attached,2000-03-21,72,4r8lRYnoOGdEi6YyI5OC1o,UK
Come Fly With Me,Kevin Fitzgerald,Introducing Kevin Fitzgerald,2021-09-23,11,3uZbLbNsf2byR9kp3rYLi1,UK
Angel Of My Dreams,JADE,Angel Of My Dreams,2024-07-19,67,46cW6zufU9Woo11TLs2i6X,UK
The Door,Teddy Swims,I've Tried Everything But Therapy (Part 1),2023-09-15,86,3dj4wgM3cPeuLwMNHDuBon,UK
