track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
CAFé CON RON,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,87,6VNXmo59yDYgcwLS17UNAW,Global,['Los Pleneros de la Cresta'],Unknown
Help Me,Real Boston Richey,Help Me,2024-05-31,68,487JCvAXVblflZyDJn3fSp,Global,[],Unknown
Bad Dreams,Teddy Swims,Bad Dreams,2024-09-13,87,3nHuKdFJZm78CoeBnDcFKe,Global,[],Unknown
Stiff Gang,Lil Baby,WHAM (Extended Version),2025-01-10,62,3cRi3PKcFCPL3fQcEJMKT0,Global,[],Unknown
Dancing In The Flames,The Weeknd,Dancing In The Flames,2024-09-13,81,7z7kvUQGwlC6iOl7vMuAr9,Global,[],Unknown
Boys Back Home,Dylan Marlowe,Boys Back Home,2023-10-27,60,1hgINxfKQlJOikzd9skvC2,Global,['Dylan Scott'],Unknown
Heart Of A Woman,Summer Walker,Heart Of A Woman,2024-10-25,73,2oVVaVY0LkzwAYYcyzon6Z,Global,[],Unknown
peekaboo,Kendrick Lamar,GNX,2024-11-22,82,2Uts1QFB4u2YNIMiqcb4de,Global,['AzChike'],Unknown
Drive,SZA,SOS Deluxe: LANA,2024-12-20,79,2qYbtIf8dRkBkKIcZVGFDq,Global,[],Unknown
Popular,Ariana Grande,Wicked: The Soundtrack,2024-11-22,82,3i8fIJNV0yuC4kXT3SkVBZ,Global,[],Unknown
hey now,Kendrick Lamar,GNX,2024-11-22,83,5S8VwnB4sLi6W0lYTWYylu,Global,['Dody6'],Unknown
LO QUE LE PASÓ A HAWAii,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,85,1Hg0e997pObvZ91w1FCPFk,Global,[],Unknown
LA MuDANZA,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,87,3G7agPwWfcORnWCAGMDOpm,Global,[],Unknown
Close To You,Gracie Abrams,The Secret of Us,2024-06-21,72,2bl81llf715VEEbAx03yvB,Global,[],Unknown
Diet Pepsi,Addison Rae,Diet Pepsi,2024-08-09,85,6MzofobZt2dm0Kf1hTThFz,Global,[],Unknown
Burning Down,Alex Warren,Burning Down,2024-09-20,69,7gxQXemQ5MBeK9PUrKRtfV,Global,[],Unknown
Free Promo,Lil Baby,WHAM (Extended Version),2025-01-10,63,47OlqHXSnjsURFZGLdvQwI,Global,[],Unknown
DOS DÍAS,Tito Double P,INCÓMODO,2024-08-22,87,5lKFO0PrOC9jmOlPEdjHsL,Global,['Peso Pluma'],Unknown
Taste,Sabrina Carpenter,Short n' Sweet,2024-08-23,90,5G2f63n7IPVPPjfNIGih7Q,UK,[],English
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,60,0lBwoEOqZNwm07Pd8Hwj3L,UK,[],English
Espresso,Sabrina Carpenter,Espresso,2024-04-11,64,2oADPwknKEfMtwpMnr7xfg,UK,[],English
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,97,6dOtVTDdiauQNBQEDOtlAB,UK,[],English
BACKBONE,Chase & Status,BACKBONE,2024-08-08,49,2N13Lr0dpiirWaJVLcNl4i,UK,['Stormzy'],English
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,100,2plbrEY59IikOBgBGLjaoe,UK,['Bruno Mars'],English
Live Forever - Remastered,Oasis,Definitely Maybe (Deluxe Edition Remastered),1994,66,6TlQ5fbojNRuG0hPQMbxeW,UK,[],English
Don't Look Back In Anger - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,72,12dU3vAh6AFoJkisorfoUl,UK,[],English
Kisses,BL3SS,Kisses (feat. bbyclose),2024-03-22,71,1bJRd2ey6ER7neSxZwYdAG,UK,"['CamrinWatsin', 'bbyclose']",English
Wonderwall - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),1995,77,7ygpwy2qP3NbrxVkHvUhXY,UK,[],English
Guess featuring billie eilish,Charli xcx,Guess featuring billie eilish,2024-08-01,81,3WOhcATHxK2SLNeP5W3v1v,UK,['Billie Eilish'],English
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,86,4xdBrk0nFZaP54vvZj0yx7,UK,[],English
Somedays,Sonny Fodera,Somedays,2024-07-26,79,3wo3d0I5H8KjkwGvnz8WbB,UK,"['Jazzy', 'D.O.D']",English
KEHLANI,Jordan Adetunji,KEHLANI,2024-05-19,22,0izPpjfwsu2DuzWGqsABkT,UK,[],English
Apple,Charli xcx,BRAT,2024-06-07,81,19RybK6XDbAVpcdxSbZL1o,UK,[],English
Mask,Malachi's Ministry,Mask,2024-04-26,21,1i4Jvtx5T14dvcVSNvkk5b,UK,[],English
